city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features,cluster
Firenze,0.0265581639030836,17.130533857419138,25,Lippi's Garden,40,4.066201121756676,0.9969,38868,0.167944147734173,0.1111111111111111,0.5291566933481713,25,0,0,0
Firenze,0.1441067351416107,0.0,10,Parco Chico Mendez,574,4.14354647903035,0.9652,50035,0.639031859650177,0.1666666666666666,0.4988902330216758,8,0,2,0
Firenze,0.0200080035273879,3.936236342692946,17,Parco D'Arte Enzo Pazzagli,752,4.062633136733856,0.9951,54797,0.6914160776171183,0.1111111111111111,0.4719671251309114,8,0,9,0
Firenze,0.0313487886689156,0.4606722177981837,10,Parco dell'Ambrogiana,484,4.107002094118658,0.9672,32939,0.3250829733914482,0.1111111111111111,0.4583958302575927,9,0,1,0
Firenze,0.0101989667038321,0.0,10,Piazza Dante,17,4.048754933576961,0.8896,56749,0.639031859650177,0.1666666666666666,0.539746941612339,0,1,9,0
Firenze,0.0736159056670274,0.0,14,Parco della Misericordia,34,4.058363941630874,0.9846,45015,0.2573186405438316,0.1111111111111111,0.0,13,0,1,0
Firenze,0.0185751301857493,25.556450486703785,15,Parco del Rosi,463,4.176690488938551,0.9975,57932,0.0,0.0555555555555555,0.4588340731781757,15,0,0,0
Firenze,0.0239483184835813,10.120618202289016,32,Parco di Quinto,205,4.062669109180737,0.9945,60671,0.0,0.0555555555555555,0.6613345396675452,32,0,0,0
Firenze,0.0507298880193443,0.0,23,Parco della Villa dei Marchesi Gerini,404,4.120307087471266,0.9693,34715,0.5305096302300272,0.2222222222222222,0.4485722803667482,21,1,1,0
Firenze,0.009921880891323,7.387502763760205,18,Parco Castelnuovo Tedesco,36,4.044891310408551,0.9632,39998,0.0,0.0555555555555555,0.833028017004745,18,0,0,0
Firenze,0.0416561828937865,8.151914211938605,22,Parco degli Etruschi,6,4.044178684774083,0.9565,53062,0.8454652292345644,0.1666666666666666,0.7479560554549565,11,0,11,0
Firenze,0.0086470254298522,5.931410548148943,36,Giardino di Michela Noli,161,4.058968827982913,0.9661,59971,0.4643566259363561,0.2222222222222222,0.833028017004745,32,0,4,0
Firenze,0.0199264508991688,19.6652869457534,31,Parco Giochi Del Saletto,90,4.069843851533992,0.9924,65849,0.3795349255810946,0.1666666666666666,0.6375515068760491,28,0,3,0
Firenze,0.0013549305835785,20.23490617802482,14,Area Cani Paolo Uccello,5,4.042042042042042,0.9442,49268,0.8760057656431737,0.1666666666666666,0.833028017004745,8,0,6,0
Firenze,0.0013862120425235,0.0,39,Prato Dello Strozzino,36,4.054440382026589,0.9528,49191,0.5847161491443458,0.1666666666666666,0.5281506628724755,0,0,39,0
Firenze,0.0674086338588714,32.00332734181306,15,Parco di Villa Caruso di Bellosguardo,266,4.067489123185325,0.9868,42352,0.6277052571971504,0.1666666666666666,0.3583327414012143,12,2,1,0
Firenze,0.001197172064047,5.543673871011803,11,Piazza Sandro Pertini,43,4.022439667390162,0.9114,54825,0.3046360973492381,0.1111111111111111,0.2836215276612664,10,0,1,0
Firenze,0.0098422045671008,23.65574840215803,30,Giardino di Viale dei Pini,12,4.0407655634070725,0.941,43620,0.0,0.0555555555555555,0.833028017004745,30,0,0,0
Firenze,0.0011547527464479,0.0,25,Giardini Daddi,34,4.047075761019984,0.9899,58991,0.8030448563658358,0.1666666666666666,0.3956683483325702,9,0,16,0
Firenze,0.0052373319514878,66.20223178101003,10,Parco Aldo Moro,1245,4.161058555795398,0.9538,52071,0.5004024235381879,0.1111111111111111,0.5327320087104102,8,0,2,0
Firenze,0.0296517592403255,0.3153286184554242,15,Parco dell'Ambrogiana 2,59,4.061133962179031,0.9742,40595,0.2449300267946353,0.1111111111111111,0.4583958302575927,14,1,0,0
Firenze,0.0455893777932869,0.7443911736963165,12,Parco di Via del Mulino,8,4.045470335200065,0.9756,48314,0.9830877585747856,0.2222222222222222,0.6504227134855658,8,1,3,0
Rotterdam,0.0009022380325375,40.598288953970254,21,Eendrachts Tuin,90,3.8837044179523135,0.9697,44324,0.0,0.0555555555555555,0.5013353043917168,0,0,21,0
Utrecht,0.0044540249298845,4.985549956808521,10,Het Vliegdek Park,44,4.12370308590492,0.9688,50866,0.8018185525433373,0.1666666666666666,0.5067651720984325,7,2,1,0
Utrecht,0.0184699962999522,39.80297070782307,22,Pinetum Birkhoven,187,4.16542515312614,0.9835,59443,0.9575556963742232,0.1666666666666666,0.2666299631672625,13,0,9,0
Lille,0.005185242,0.69795375,26,Square Foch,100,3.883203425,0.9939,47440,1.0427845852427873,0.2777777777777778,0.6186053504803162,6,3,17,0
