city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features,cluster
Firenze,0.001208586729506,4.117744461864432,45,Piazza Giovambattista Giorgini,15,4.044113043776796,0.9911,51612,0.9614988832586402,0.2777777777777778,0.5226903354924957,15,2,28,2
Firenze,0.0088021068841079,8.051252792135596,51,Parco Giochi Via Undici Febbraio,9,4.041455838012219,-0.391,43643,0.1926257384611746,0.1666666666666666,0.445778294582539,1,0,50,2
Firenze,0.0157849184885839,100.0,53,Giardino Corsini,321,4.107359785887393,0.9963,31298,0.9310964293043144,0.2777777777777778,0.7068349918513801,35,4,14,2
Firenze,0.0041880047266213,5.415643213851185,27,Parco Giochi Cortona,16,4.044150602215118,0.9904,62013,0.9707535898006514,0.2777777777777778,0.5137887199503752,8,0,19,2
Firenze,0.0175209829763285,1.1258618421162745,38,Parco Bardo,67,4.050354838269068,0.9741,50736,0.8215487366559788,0.2222222222222222,0.4485722803667482,8,1,29,2
Firenze,0.0048250882525444,64.34725662991671,48,Giardino del Borgo,268,4.11384833108971,0.9931,39822,0.4505612088663046,0.1111111111111111,0.4402418823158217,8,0,40,2
Firenze,0.0040792463357485,83.47389626858389,23,Giardino Ex Caterina De' Medici,5,4.042719090112455,-0.3089,56244,1.2143130643167008,0.2777777777777778,0.4736330316422451,10,0,13,2
Firenze,0.001761403120853,83.0253246014967,28,"Giardino ""Potente""",20,4.040278884782905,0.9701,49154,0.8304717124362917,0.1666666666666666,0.4307226007854484,8,2,18,2
Firenze,0.0019501288115531,3.601634625403415,56,Giardini di Via Locchi,23,4.03979671979672,-0.7246,62924,0.4692203484415987,0.1111111111111111,0.5239534037992686,10,0,46,2
Firenze,0.002906399973616,8.66984165152405,10,Parco Giochi di Via Signorelli,126,4.016455629597056,-0.9826,63042,0.0,0.0555555555555555,0.6375515068760491,10,0,0,2
Firenze,0.0044947548292316,0.6675281784193409,44,Parco Giochi Gerini,11,4.047671002087724,0.9953,69825,0.5623351446188083,0.1111111111111111,0.5137887199503752,11,0,33,2
Firenze,0.0151541652483344,5.750942069815763,125,Parco Mariambini,103,4.001457838791172,-0.4613,49066,0.1132225027146081,0.1111111111111111,0.0,3,0,122,2
Rotterdam,0.0769182714100629,100.0,27,Roel Langerakpark,685,3.9634648688767937,0.9692,42232,0.1584105701317908,0.1111111111111111,0.4866623789218179,26,0,1,2
Rotterdam,0.0078647921192311,50.824589387359495,42,Tuschinskipark,46,3.857425832127352,0.8689,55815,0.72228704847609,0.1666666666666666,0.8267462873940558,13,0,29,2
Rotterdam,0.0436602526500057,100.0,51,Wijktuin Ommoord,9,3.8452509293680297,0.9722,67030,0.0965089607359473,0.1111111111111111,0.533086526096687,50,0,1,2
Rotterdam,0.0524207969147264,100.0,29,Drechterweide,57,3.860920674802584,0.9581,58681,0.149994923610415,0.1111111111111111,0.562625085946127,28,0,1,2
Rotterdam,0.0085853375005405,74.38525820292327,51,Hefpark,194,3.900236928104576,0.9605,50857,0.1926257384611746,0.1666666666666666,0.4981454402342126,1,0,50,2
