city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features,cluster
Toulouse,0.0781830357454954,4.100543515200421,35,Port-Sud,200,3.985582957011319,0.9855,40185,1.7200718826996548,0.4444444444444444,0.4938538434753984,10,2,23,1
Toulouse,0.0650050660417582,6.003698936012198,62,Parc de Malpagat,196,3.9851723267634727,0.9777,48595,1.0731014913469887,0.2222222222222222,0.527328509085002,28,0,34,1
Toulouse,0.0082618246881837,44.85881840935273,50,Jardin du Pays d'Oc,556,4.040383267438422,0.9985,50689,1.4316366402425018,0.3888888888888889,0.6576735921988506,15,0,35,1
Toulouse,0.0873112441021604,0.0,51,Base de Loisirs de BruguiÃÂ¨res,223,3.979078707703804,0.9726,33396,1.5471134185483115,0.3888888888888889,0.565293067285014,19,0,32,1
Toulouse,0.0386923981037167,3.18460929226387,56,Cours Coinays,216,3.982925567364692,0.9961,56083,1.4476690531485426,0.3888888888888889,0.4472355123099815,17,0,39,1
Toulouse,0.8607389934824589,0.1532460161305392,125,Parc du Confluent,1015,4.022675562506306,0.9473,48195,1.1390227679352725,0.5,0.7163276187739207,17,1,107,1
Toulouse,0.1422157559555676,0.3944137720535395,72,Parc de Gironis,63,3.959511793647348,0.6478,54781,1.9804416748125333,0.6666666666666666,0.4217269981301418,16,2,54,1
Toulouse,0.0084204116576545,54.01594695879837,60,ThÃÂ©ÃÂ¢tre de Verdure du Ramier,239,3.980094683302684,0.978,40354,0.8586890466711514,0.3888888888888889,0.6576735921988506,47,0,13,1
Toulouse,0.0094435050305973,61.6203980053442,121,Square Antoine de Saint-ExupÃÂ©ry,6,3.964260221823639,0.7003,49853,1.1838655828508304,0.3888888888888889,0.3992747598983094,26,1,94,1
Toulouse,0.0464309892307143,15.061080787615255,97,Petit Bois de Bellefontaine,251,3.9907616520749634,0.9936,36355,1.285943879542417,0.3888888888888889,0.4402049663681128,25,1,71,1
Toulouse,0.0562033379101529,1.5883680960626427,52,Domaine de Montjoie,181,3.980003708849432,0.9871,53760,1.3019240056658616,0.3333333333333333,0.5633424143935546,27,1,24,1
Toulouse,0.2253006132943481,0.0,19,Parc du ChÃÂ¢teau de la CassagnÃÂ¨re,163,3.971936225273556,0.98,62168,1.4978961026092772,0.2777777777777778,0.5263236428143154,2,0,17,1
Toulouse,1.86399249224688,0.0,16,Parc de Bidot,304,3.9900954345402937,0.8877,52342,1.30328361965227,0.2222222222222222,0.4163988888921484,3,0,13,1
Bologna,0.1078114019664451,18.202841120043768,131,Parco dell'Osservanza,601,3.9752500167698006,0.88,43892,2.113647466199328,0.8333333333333334,0.5431819217336201,49,16,66,1
Bologna,0.0025288102940768,22.49233257308765,101,Giardino Gennaro Fabbri,17,3.868852900035245,0.9216,45301,0.2768682183607551,0.2222222222222222,0.4262153293613436,1,0,100,1
Bologna,0.059008975833889,36.99195174918676,84,Parco Lirone,9,3.8720619289396248,0.8357,36198,0.5349842644956324,0.2777777777777778,0.5609975332574151,74,0,10,1
Bologna,0.0713056746033737,10.264261091282174,99,Parco Lupicchio,115,3.906474005828219,0.9032,49558,1.4977896725960411,0.6666666666666666,0.8070606005276201,38,6,55,1
Bologna,0.0281951260014893,6.642580195344905,131,Parco Giovanni XXIII,171,3.9059966479992254,0.9795,58340,0.7604067933310553,0.3333333333333333,0.6207549175958991,7,0,124,1
Bologna,0.0037837509256228,54.78520911980313,72,Giardino dei Ciliegi,72,3.8668778768257215,0.9681,44439,0.0,0.0555555555555555,0.4637796847090946,0,0,72,1
Bologna,0.0042035144509598,100.0,123,Giardino dei Platani,18,3.8726798545806806,0.8313,35062,0.3865412265654219,0.1111111111111111,0.5097944335991409,16,0,107,1
Bologna,0.0050219029884114,91.69712663558414,92,Giardino Pierfrancesco Lo Russo,428,4.0258430725018215,0.987,38549,0.4756351445673508,0.2222222222222222,0.4486201679252009,10,0,82,1
Bologna,0.1169918821685364,2.376864725747854,109,Parco del Rio Cavanella,18,3.875577783098444,0.9522,52383,0.8142316245663977,0.4444444444444444,0.4002861560637222,9,0,100,1
Bologna,0.0123570131113547,4.773555729687592,139,Giardino Angiola Sbaiz,38,3.872120442298842,0.9666,45805,0.1778768765201767,0.1111111111111111,0.726851936615731,6,0,133,1
Bologna,0.0314777533142035,6.308626092885213,100,Parco Carlo Urbani,193,3.900780828603631,0.9947,47069,0.0560015343548473,0.1111111111111111,0.6150426474971411,1,0,99,1
Bologna,0.0529123153252285,0.0,99,La Casa del Fiume- Ca' Pitera,246,3.943650971132084,0.9836,48649,0.0,0.0555555555555555,0.5124170096187578,0,0,99,1
Bologna,0.1128942637112638,0.0,89,Parco di Villa Guastavillani,50,3.886119890801752,0.9913,40345,0.2086229577357215,0.1666666666666666,0.2942841322335907,3,1,85,1
Bologna,0.0309786763631044,31.369864495915103,93,Giardino Giorgio Ambrosoli,31,3.87164338148883,0.8202,48579,0.5470811571982415,0.1111111111111111,0.1939391502492808,22,0,71,1
Bologna,0.0017178190922763,13.799325165757285,42,Giardino San Padre Pio da Pietrelcina,196,3.930024317147859,0.9968,49616,1.3095815010879606,0.2777777777777778,0.3563858095644576,16,0,26,1
Bologna,0.010148890915431,47.7264492206056,103,Giardino Madri Costituenti,20,3.8698143245553984,0.9505,54350,0.0957632934520911,0.1111111111111111,0.7597207961094263,2,0,101,1
Bologna,0.0086201690923939,88.418113820212,114,Parco del Castellaccio,27,3.878579171665051,0.9938,51948,0.353284537480974,0.2222222222222222,0.4330457102236452,8,0,106,1
Bologna,0.002470070617631,0.0,101,Giardino Reno Scoto,903,4.109500669853602,0.9958,46637,0.1889541625755915,0.1666666666666666,0.0,3,0,98,1
Bologna,0.016845664731333,100.0,141,Parco Elio Bragaglia,27,3.875695172519569,0.9552,44820,0.54629232665154,0.2777777777777778,0.5393942260707645,8,0,133,1
Bologna,0.0152177895214259,100.0,125,Parco Maurizio Cevenini,145,3.89356493218732,0.9943,61433,0.6575847137144801,0.2777777777777778,0.6322506745246859,12,0,113,1
Lisboa,0.0132534795811176,10.137689035068892,32,Quinta da Alfarrobeira,524,4.1091403942261,0.982,53136,0.9955521324687742,0.3888888888888889,0.2966200915541237,24,4,4,1
Lisboa,0.0132341766443957,79.80262744825518,32,Parque de Santa Marta,647,4.114282949928462,0.997,59295,1.6459371475353834,0.3888888888888889,0.3475968420797052,1,9,22,1
Lisboa,0.0405190383082833,27.72570795365869,29,Parque Silva Porto,314,4.104659504523434,0.9888,60559,1.0920175175959936,0.3333333333333333,0.3729603705954663,20,3,6,1
Lisboa,0.0180855627495531,16.25845317442526,24,Parque Baden Powell,81,4.08264123835237,0.9927,57016,1.0556698482148017,0.3333333333333333,0.4470295144313414,17,3,4,1
Lisboa,0.0874430529113458,4.747040380713926,77,Parque Urbano e Linear Dom Domingos Jardo,44,4.084397309651283,0.9602,53684,1.1739965827264447,0.3888888888888889,0.5411402218116489,43,4,30,1
