city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features
Firenze,0.001208586729506,4.117744461864432,45,Piazza Giovambattista Giorgini,15,4.044113043776796,0.9911,51612,0.9614988832586402,0.2777777777777778,0.5226903354924957,15,2,28
Firenze,0.0053928290899073,17.130203528797377,104,Piazza della Vittoria,508,4.0580283313616645,0.9786,68952,1.3542145741370615,0.3888888888888889,0.38062330304242253,32,1,71
Firenze,0.0265581639030836,17.130533857419138,25,Lippi's Garden,40,4.066201121756676,0.9969,38868,0.167944147734173,0.1111111111111111,0.5291566933481713,25,0,0
Firenze,0.0067539440888906,2.4417777317285303,106,Piazza Torquato Tasso,152,4.04882764537937,0.8126,46706,1.0762955315498413,0.5,0.567676747948361,30,6,70
Firenze,0.1441067351416107,0.0,10,Parco Chico Mendez,574,4.14354647903035,0.9652,50035,0.639031859650177,0.16666666666666666,0.4988902330216758,8,0,2
Firenze,0.0088021068841079,8.051252792135596,51,Parco Giochi Via Undici Febbraio,9,4.041455838012219,-0.391,43643,0.19262573846117467,0.16666666666666666,0.44577829458253904,1,0,50
Firenze,0.0200080035273879,3.936236342692946,17,Parco D'Arte Enzo Pazzagli,752,4.062633136733856,0.9951,54797,0.6914160776171183,0.1111111111111111,0.47196712513091144,8,0,9
Firenze,0.0313487886689156,0.4606722177981837,10,Parco dell'Ambrogiana,484,4.107002094118658,0.9672,32939,0.3250829733914482,0.1111111111111111,0.4583958302575927,9,0,1
Firenze,0.0513333288463838,1.5383308292672455,90,Parco di Villa Vogel,78,4.031287803932965,0.9906,59290,0.6684485070741168,0.3333333333333333,0.683118803201532,75,0,15
Firenze,0.0101989667038321,0.0,10,Piazza Dante,17,4.048754933576961,0.8896,56749,0.639031859650177,0.16666666666666666,0.539746941612339,0,1,9
